initialCase,cited_by,Case
105659,cited by,107081
105662,cited by,111893
105662,cited by,108605
105833,cited by,105833
105833,cited by,109344
105825,cited by,117900
105825,cited by,112930
105825,cited by,111949
105825,cited by,108523
105981,cited by,111948
105981,cited by,108595
105981,cited by,107953
106011,cited by,117921
106011,cited by,109443
106011,cited by,109380
106011,cited by,108611
106011,cited by,106559
106336,cited by,112357
106336,cited by,110560
106336,cited by,110018
106366,cited by,118238
106366,cited by,118146
106366,cited by,118115
106366,cited by,117874
106366,cited by,112803
106366,cited by,112768
106366,cited by,112747
106366,cited by,112427
106366,cited by,112139
106366,cited by,111362
106366,cited by,110985
106366,cited by,110697
106366,cited by,109380
106366,cited by,109101
106366,cited by,109086
106366,cited by,109087
106366,cited by,108595
106366,cited by,108221
106366,cited by,107783
106366,cited by,107731
106366,cited by,106775
106366,cited by,106739
106366,cited by,106658
106366,cited by,106547
106447,cited by,112643
106447,cited by,112644
106447,cited by,112472
106447,cited by,111756
106447,cited by,111510
106447,cited by,110315
106447,cited by,109380
106447,cited by,108767
106547,cited by,118395
106547,cited by,108221
106547,cited by,107783
106547,cited by,106739
106559,cited by,109380
106559,cited by,108611
106559,cited by,107554
106658,cited by,118140
106658,cited by,117921
106658,cited by,110697
106658,cited by,109380
106775,cited by,137006
106775,cited by,130156
106775,cited by,110339
106775,cited by,108523
106757,cited by,122254
106757,cited by,112199
106757,cited by,108818
106821,cited by,1145266
106821,cited by,118323
106821,cited by,118318
106821,cited by,118316
106821,cited by,118317
106821,cited by,118011
106821,cited by,112643
106821,cited by,112641
106821,cited by,112423
106821,cited by,112291
106821,cited by,111949
106821,cited by,111362
106821,cited by,110753
106821,cited by,109499
106821,cited by,108990
106821,cited by,108763
106966,cited by,107082
106985,cited by,111869
106985,cited by,110339
106985,cited by,107685
107082,cited by,112786
107082,cited by,110339
107082,cited by,107731
107082,cited by,107685
2510512,cited by,118136
2510512,cited by,117916
2510512,cited by,117841
2510512,cited by,112173
2510512,cited by,111260
2510512,cited by,110985
2510512,cited by,108607
2510512,cited by,107554
107081,cited by,118136
107081,cited by,117916
107081,cited by,117841
107081,cited by,112173
107081,cited by,111260
107081,cited by,110985
107081,cited by,108607
107081,cited by,107554
107168,cited by,109101
107168,cited by,108607
107301,cited by,108607
107554,cited by,137001
107554,cited by,112472
107554,cited by,112173
107554,cited by,110340
107554,cited by,109380
107554,cited by,108993
107554,cited by,108611
107685,cited by,136995
107685,cited by,118298
107685,cited by,112808
107685,cited by,112786
107685,cited by,112471
107685,cited by,111869
107685,cited by,111759
107685,cited by,110339
107685,cited by,108605
107685,cited by,108221
107731,cited by,118146
107731,cited by,118011
107731,cited by,117834
107731,cited by,112173
107731,cited by,109087
107731,cited by,109086
107731,cited by,108595
107783,cited by,121170
107783,cited by,118102
107783,cited by,117935
107783,cited by,112675
107783,cited by,112472
107783,cited by,112398
107783,cited by,111781
107783,cited by,111100
107783,cited by,110904
107783,cited by,109380
107783,cited by,108993
107783,cited by,108221
89115,cited by,94239
89115,cited by,94174
108153,cited by,118363
108153,cited by,118136
108523,cited by,137006
108523,cited by,112768
108523,cited by,112291
108523,cited by,111362
108523,cited by,111104
108523,cited by,108990
108595,cited by,112747
108595,cited by,109087
108595,cited by,109086
107953,cited by,118033
107953,cited by,117947
107953,cited by,112643
107953,cited by,111948
107953,cited by,110315
107953,cited by,108767
107953,cited by,108595
88025,cited by,94239
88025,cited by,94174
88075,cited by,118111
88075,cited by,111097
88075,cited by,104328
88075,cited by,95538
88075,cited by,95504
88075,cited by,95500
88075,cited by,95471
88075,cited by,92767
108607,cited by,110762
108607,cited by,109101
87116,cited by,118011
87116,cited by,117916
87116,cited by,112786
87116,cited by,111869
87116,cited by,102167
87116,cited by,95504
88159,cited by,95043
88419,cited by,102042
108767,cited by,112920
108767,cited by,112768
108767,cited by,111510
108767,cited by,110315
108767,cited by,109380
86877,cited by,87016
87779,cited by,118361
87779,cited by,112808
87779,cited by,112305
87779,cited by,111260
87779,cited by,109121
87779,cited by,107081
87779,cited by,104303
87779,cited by,90760
87016,cited by,94174
108611,cited by,110894
108611,cited by,110339
108611,cited by,109101
108818,cited by,118316
108818,cited by,112199
108818,cited by,111941
108818,cited by,109628
87985,cited by,1145266
87985,cited by,118318
87985,cited by,118148
87985,cited by,112768
87985,cited by,112632
87985,cited by,111308
87985,cited by,110881
87985,cited by,109499
87985,cited by,102843
87985,cited by,94174
87748,cited by,102963
87748,cited by,92767
87748,cited by,89626
